name,longitude,latitude,prov,date,key
"Haplospiza unicolor Cabanis, 1851",-45.225357,-22.569262,gbif,4/7/2023,4611766084
"Haplospiza unicolor Cabanis, 1851",-42.577774,-22.324436,gbif,4/6/2023,4714198760
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,4/8/2023,4669962022
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,4/8/2023,4714977900
"Haplospiza unicolor Cabanis, 1851",-45.225357,-22.569262,gbif,4/7/2023,4715904329
"Haplospiza unicolor Cabanis, 1851",-42.99184,-22.452349,gbif,4/8/2023,4727777399
"Haplospiza unicolor Cabanis, 1851",-42.92251,-22.440983,gbif,4/8/2023,4726229000
"Haplospiza unicolor Cabanis, 1851",-45.595875,-22.731178,gbif,4/11/2023,4800847796
"Haplospiza unicolor Cabanis, 1851",-45.960827,-23.19856,gbif,4/12/2023,4642411917
"Haplospiza unicolor Cabanis, 1851",-47.561188,-24.00366,gbif,4/13/2023,4788575980
"Haplospiza unicolor Cabanis, 1851",-51.520054,-24.693253,gbif,4/13/2023,4732190157
"Haplospiza unicolor Cabanis, 1851",-42.99184,-22.452349,gbif,4/14/2023,4670412265
"Haplospiza unicolor Cabanis, 1851",-42.99184,-22.452349,gbif,4/14/2023,4666371129
"Haplospiza unicolor Cabanis, 1851",-42.92251,-22.440983,gbif,4/8/2023,4818978613
"Haplospiza unicolor Cabanis, 1851",-46.499954,-23.731123,gbif,4/16/2023,4619303616
"Haplospiza unicolor Cabanis, 1851",-46.499954,-23.731123,gbif,4/16/2023,4813390877
"Haplospiza unicolor Cabanis, 1851",-42.99184,-22.452349,gbif,4/8/2023,4718739285
"Haplospiza unicolor Cabanis, 1851",-46.399178,-24.015411,gbif,4/15/2023,4797184497
"Haplospiza unicolor Cabanis, 1851",-46.399178,-24.015411,gbif,4/15/2023,4729132769
"Haplospiza unicolor Cabanis, 1851",-44.82121,-23.151321,gbif,4/18/2023,4733916748
"Haplospiza unicolor Cabanis, 1851",-44.816353,-23.142773,gbif,4/18/2023,4638591472
"Haplospiza unicolor Cabanis, 1851",-46.487747,-23.686008,gbif,4/20/2023,4718928824
"Haplospiza unicolor Cabanis, 1851",-42.92251,-22.440983,gbif,4/8/2023,4801848318
"Haplospiza unicolor Cabanis, 1851",-42.99184,-22.452349,gbif,4/8/2023,4735142729
"Haplospiza unicolor Cabanis, 1851",-46.18381,-23.723444,gbif,4/21/2023,4638503771
"Haplospiza unicolor Cabanis, 1851",-46.18381,-23.723444,gbif,4/21/2023,4667010484
"Haplospiza unicolor Cabanis, 1851",-46.18381,-23.723444,gbif,4/21/2023,4822701100
"Haplospiza unicolor Cabanis, 1851",-44.746155,-22.36607,gbif,4/22/2023,4782218017
"Haplospiza unicolor Cabanis, 1851",-44.86577,-22.161808,gbif,4/23/2023,4620011523
